# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 19 20:00:51 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
#
pl_name,hostname,pl_orbper
11 Com b,11 Com,323.21000000000
11 Com b,11 Com,326.03000000000
11 Com b,11 Com,
11 UMi b,11 UMi,
11 UMi b,11 UMi,516.21997000000
11 UMi b,11 UMi,516.22000000000
14 And b,14 And,186.76000000000
14 And b,14 And,185.84000000000
14 And b,14 And,
14 Her b,14 Her,1765.03890000000
14 Her b,14 Her,1773.40002000000
14 Her b,14 Her,1766.00000000000
14 Her b,14 Her,1766.41000000000
14 Her b,14 Her,
14 Her b,14 Her,1724.00000000000
14 Her b,14 Her,1773.40000000000
14 Her b,14 Her,1796.40000000000
14 Her b,14 Her,
16 Cyg B b,16 Cyg B,799.50000000000
16 Cyg B b,16 Cyg B,800.80000000000
16 Cyg B b,16 Cyg B,798.50000000000
16 Cyg B b,16 Cyg B,798.50000000000
16 Cyg B b,16 Cyg B,799.45000000000
16 Cyg B b,16 Cyg B,799.50000000000
17 Sco b,17 Sco,578.38000000000
18 Del b,18 Del,982.85000000000
18 Del b,18 Del,
18 Del b,18 Del,993.30000000000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,
24 Boo b,24 Boo,30.33000000000
24 Boo b,24 Boo,30.35060000000
24 Sex b,24 Sex,452.80000000000
24 Sex c,24 Sex,883.00000000000
2M0437 b,2MASS J04372171+2651014,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,
2MASS J0249-0557 c,2MASS J0249-0557 A,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,416.00000000000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.00000000000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,
2MASS J22501512+2325342 b,2MASS J22501512+2325342,
4 UMa b,4 UMa,270.27000000000
4 UMa b,4 UMa,269.30000000000
47 UMa b,47 UMa,1076.60000000000
47 UMa b,47 UMa,1076.06000000000
47 UMa b,47 UMa,1100.80000000000
47 UMa b,47 UMa,1078.00000000000
47 UMa b,47 UMa,1076.60000000000
47 UMa b,47 UMa,1083.20000000000
47 UMa c,47 UMa,2391.00000000000
47 UMa c,47 UMa,7586.00000000000
47 UMa c,47 UMa,2265.00000000000
47 UMa c,47 UMa,2287.00000000000
47 UMa d,47 UMa,14002.00000000000
47 UMa d,47 UMa,19000.00000000000
51 Eri b,51 Eri,9100.00000000000
51 Eri b,51 Eri,11688.00000000000
51 Eri b,51 Eri,
51 Eri b,51 Eri,
51 Eri b,51 Eri,14965.00000000000
51 Peg b,51 Peg,4.23079690000
51 Peg b,51 Peg,4.23077000000
51 Peg b,51 Peg,4.23078500000
51 Peg b,51 Peg,4.22930000000
51 Peg b,51 Peg,4.23100000000
55 Cnc B b,55 Cnc B,6.79940000000
55 Cnc B c,55 Cnc B,33.74700000000
55 Cnc b,55 Cnc,14.65300000000
55 Cnc b,55 Cnc,14.65155200000
55 Cnc b,55 Cnc,14.64800000000
55 Cnc b,55 Cnc,14.67000000000
55 Cnc b,55 Cnc,14.46531400000
55 Cnc b,55 Cnc,14.65100000000
55 Cnc b,55 Cnc,14.65126000000
55 Cnc b,55 Cnc,14.60000000000
55 Cnc b,55 Cnc,14.65171000000
55 Cnc b,55 Cnc,14.65161300000
55 Cnc b,55 Cnc,14.65162000000
55 Cnc b,55 Cnc,14.65160000000
55 Cnc b,55 Cnc,14.65152000000
55 Cnc b,55 Cnc,14.64700000000
55 Cnc c,55 Cnc,44.39360000000
55 Cnc c,55 Cnc,44.38270000000
55 Cnc c,55 Cnc,44.39160000000
55 Cnc c,55 Cnc,44.39890000000
55 Cnc c,55 Cnc,44.37870000000
55 Cnc c,55 Cnc,44.41750000000
55 Cnc c,55 Cnc,43.93000000000
55 Cnc c,55 Cnc,44.38000000000
55 Cnc c,55 Cnc,44.34460000000
55 Cnc c,55 Cnc,44.37300000000
55 Cnc d,55 Cnc,4545.00000000000
55 Cnc d,55 Cnc,5360.00000000000
55 Cnc d,55 Cnc,4517.40000000000
55 Cnc d,55 Cnc,5574.20000000000
55 Cnc d,55 Cnc,4909.00000000000
55 Cnc d,55 Cnc,5370.00000000000
55 Cnc d,55 Cnc,4867.00000000000
55 Cnc d,55 Cnc,5218.00000000000
55 Cnc d,55 Cnc,4799.00000000000
55 Cnc d,55 Cnc,4982.00000000000
55 Cnc d,55 Cnc,4825.00000000000
55 Cnc d,55 Cnc,4820.00000000000
55 Cnc e,55 Cnc,2.79674000000
55 Cnc e,55 Cnc,0.73655150000
55 Cnc e,55 Cnc,0.73654600000
55 Cnc e,55 Cnc,0.73654450000
55 Cnc e,55 Cnc,0.73654000000
55 Cnc e,55 Cnc,0.73654700000
55 Cnc e,55 Cnc,0.73654625026
55 Cnc e,55 Cnc,0.73654740000
55 Cnc e,55 Cnc,2.80800000000
55 Cnc e,55 Cnc,
55 Cnc e,55 Cnc,0.73654780000
55 Cnc e,55 Cnc,0.73653900000
55 Cnc e,55 Cnc,0.73700000000
55 Cnc e,55 Cnc,0.73654170000
55 Cnc e,55 Cnc,0.73654300000
55 Cnc e,55 Cnc,
55 Cnc e,55 Cnc,0.73654600000
55 Cnc e,55 Cnc,0.73654740000
55 Cnc e,55 Cnc,0.73654604000
55 Cnc e,55 Cnc,0.73654625000
55 Cnc e,55 Cnc,0.73654370000
55 Cnc f,55 Cnc,260.00000000000
