pl_name,hostname,pl_orbper
11 Com b,11 Com,323.21
11 Com b,11 Com,326.03
11 Com b,11 Com,NA
11 UMi b,11 UMi,NA
11 UMi b,11 UMi,516.21997
11 UMi b,11 UMi,516.22
14 And b,14 And,186.76
14 And b,14 And,185.84
14 And b,14 And,NA
14 Her b,14 Her,1765.0389
14 Her b,14 Her,1773.40002
14 Her b,14 Her,1766
14 Her b,14 Her,1766.41
14 Her b,14 Her,NA
14 Her b,14 Her,1724
14 Her b,14 Her,1773.4
14 Her b,14 Her,1796.4
14 Her b,14 Her,NA
16 Cyg B b,16 Cyg B,799.5
16 Cyg B b,16 Cyg B,800.8
16 Cyg B b,16 Cyg B,798.5
16 Cyg B b,16 Cyg B,798.5
16 Cyg B b,16 Cyg B,799.45
16 Cyg B b,16 Cyg B,799.5
17 Sco b,17 Sco,578.38
18 Del b,18 Del,982.85
18 Del b,18 Del,NA
18 Del b,18 Del,993.3
1RXS J160929.1-210524 b,1RXS J160929.1-210524,NA
1RXS J160929.1-210524 b,1RXS J160929.1-210524,NA
1RXS J160929.1-210524 b,1RXS J160929.1-210524,NA
1RXS J160929.1-210524 b,1RXS J160929.1-210524,NA
24 Boo b,24 Boo,30.33
24 Boo b,24 Boo,30.3506
24 Sex b,24 Sex,452.8
24 Sex c,24 Sex,883
2M0437 b,2MASS J04372171+2651014,NA
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,NA
2MASS J01225093-2439505 b,2MASS J01225093-2439505,NA
2MASS J01225093-2439505 b,2MASS J01225093-2439505,NA
2MASS J02192210-3925225 b,2MASS J02192210-3925225,NA
2MASS J0249-0557 c,2MASS J0249-0557 A,NA
2MASS J03590986+2009361 b,2MASS J03590986+2009361,NA
2MASS J04414489+2301513 b,2MASS J04414489+2301513,NA
2MASS J11011926-7732383 b,2MASS J11011926-7732383,NA
2MASS J11550485-7919108 b,2MASS J11550485-7919108,NA
2MASS J12073346-3932539 b,2MASS J12073346-3932539,NA
2MASS J12073346-3932539 b,2MASS J12073346-3932539,NA
2MASS J12073346-3932539 b,2MASS J12073346-3932539,NA
2MASS J19383260+4603591 b,2MASS J19383260+4603591,416
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406
2MASS J21252752-8138278 b,2MASS J21252752-8138278,NA
2MASS J22362452+4751425 b,2MASS J22362452+4751425,NA
2MASS J22501512+2325342 b,2MASS J22501512+2325342,NA
4 UMa b,4 UMa,270.27
4 UMa b,4 UMa,269.3
47 UMa b,47 UMa,1076.6
47 UMa b,47 UMa,1076.06
47 UMa b,47 UMa,1100.8
47 UMa b,47 UMa,1078
47 UMa b,47 UMa,1076.6
47 UMa b,47 UMa,1083.2
47 UMa c,47 UMa,2391
47 UMa c,47 UMa,7586
47 UMa c,47 UMa,2265
47 UMa c,47 UMa,2287
47 UMa d,47 UMa,14002
47 UMa d,47 UMa,19000
51 Eri b,51 Eri,9100
51 Eri b,51 Eri,11688
51 Eri b,51 Eri,NA
51 Eri b,51 Eri,NA
51 Eri b,51 Eri,14965
51 Peg b,51 Peg,4.2307969
51 Peg b,51 Peg,4.23077
51 Peg b,51 Peg,4.230785
51 Peg b,51 Peg,4.2293
51 Peg b,51 Peg,4.231
55 Cnc B b,55 Cnc B,6.7994
55 Cnc B c,55 Cnc B,33.747
55 Cnc b,55 Cnc,14.653
55 Cnc b,55 Cnc,14.651552
55 Cnc b,55 Cnc,14.648
55 Cnc b,55 Cnc,14.67
55 Cnc b,55 Cnc,14.465314
55 Cnc b,55 Cnc,14.651
55 Cnc b,55 Cnc,14.65126
55 Cnc b,55 Cnc,14.6
55 Cnc b,55 Cnc,14.65171
55 Cnc b,55 Cnc,14.651613
55 Cnc b,55 Cnc,14.65162
55 Cnc b,55 Cnc,14.6516
55 Cnc b,55 Cnc,14.65152
55 Cnc b,55 Cnc,14.647
55 Cnc c,55 Cnc,44.3936
55 Cnc c,55 Cnc,44.3827
55 Cnc c,55 Cnc,44.3916
55 Cnc c,55 Cnc,44.3989
55 Cnc c,55 Cnc,44.3787
55 Cnc c,55 Cnc,44.4175
55 Cnc c,55 Cnc,43.93
55 Cnc c,55 Cnc,44.38
55 Cnc c,55 Cnc,44.3446
55 Cnc c,55 Cnc,44.373
55 Cnc d,55 Cnc,4545
55 Cnc d,55 Cnc,5360
55 Cnc d,55 Cnc,4517.4
55 Cnc d,55 Cnc,5574.2
55 Cnc d,55 Cnc,4909
55 Cnc d,55 Cnc,5370
55 Cnc d,55 Cnc,4867
55 Cnc d,55 Cnc,5218
55 Cnc d,55 Cnc,4799
55 Cnc d,55 Cnc,4982
55 Cnc d,55 Cnc,4825
55 Cnc d,55 Cnc,4820
55 Cnc e,55 Cnc,2.79674
55 Cnc e,55 Cnc,0.7365515
55 Cnc e,55 Cnc,0.736546
55 Cnc e,55 Cnc,0.7365445
55 Cnc e,55 Cnc,0.73654
55 Cnc e,55 Cnc,0.736547
55 Cnc e,55 Cnc,0.73654625026
55 Cnc e,55 Cnc,0.7365474
55 Cnc e,55 Cnc,2.808
55 Cnc e,55 Cnc,NA
55 Cnc e,55 Cnc,0.7365478
55 Cnc e,55 Cnc,0.736539
55 Cnc e,55 Cnc,0.737
55 Cnc e,55 Cnc,0.7365417
55 Cnc e,55 Cnc,0.736543
55 Cnc e,55 Cnc,NA
55 Cnc e,55 Cnc,0.736546
55 Cnc e,55 Cnc,0.7365474
55 Cnc e,55 Cnc,0.73654604
55 Cnc e,55 Cnc,0.73654625
55 Cnc e,55 Cnc,0.7365437
55 Cnc f,55 Cnc,260
55 Cnc f,55 Cnc,261.2
55 Cnc f,55 Cnc,260.7
55 Cnc f,55 Cnc,260.91
55 Cnc f,55 Cnc,260.54
55 Cnc f,55 Cnc,260.58
55 Cnc f,55 Cnc,260.98
55 Cnc f,55 Cnc,259.88
55 Cnc f,55 Cnc,262
6 Lyn b,6 Lyn,919.86
6 Lyn b,6 Lyn,899
6 Lyn b,6 Lyn,934.3
6 Lyn b,6 Lyn,874.774
61 Vir b,61 Vir,4.215
61 Vir b,61 Vir,4.215011
61 Vir b,61 Vir,4.21487
61 Vir c,61 Vir,38.021
61 Vir c,61 Vir,38.0864
61 Vir c,61 Vir,38.0957
61 Vir d,61 Vir,123.15
61 Vir d,61 Vir,123.01
7 CMa b,7 CMa,735.1
7 CMa b,7 CMa,796
7 CMa b,7 CMa,NA
7 CMa b,7 CMa,763
7 CMa c,7 CMa,NA
7 CMa c,7 CMa,996
70 Vir b,70 Vir,116.6926
70 Vir b,70 Vir,116.69335
70 Vir b,70 Vir,116.688
70 Vir b,70 Vir,116.689
70 Vir b,70 Vir,116.6884
70 Vir b,70 Vir,116.6884
75 Cet b,75 Cet,691.9
75 Cet b,75 Cet,696.62
75 Cet c,75 Cet,2051.62
8 UMi b,8 UMi,93.31
8 UMi b,8 UMi,93.4
8 UMi b,8 UMi,93.4
81 Cet b,81 Cet,NA
81 Cet b,81 Cet,1005.57
81 Cet b,81 Cet,952.7
91 Aqr b,91 Aqr,181.4
AB Aur b,AB Aur,NA
AB Pic b,AB Pic,NA
AF Lep b,AF Lep,NA
AF Lep b,AF Lep,9060
AF Lep b,AF Lep,8030
AF Lep b,AF Lep,7520
AF Lep b,AF Lep,8905
AT2021ueyL b,AT2021ueyL,4168.69
AU Mic b,AU Mic,8.463446
AU Mic b,AU Mic,8.4631427
AU Mic b,AU Mic,8.463
AU Mic b,AU Mic,8.46321
AU Mic b,AU Mic,8.46321
AU Mic b,AU Mic,8.463
AU Mic b,AU Mic,8.4629991
AU Mic b,AU Mic,8.45367765822
AU Mic b,AU Mic,NA
AU Mic b,AU Mic,8.462995
AU Mic b,AU Mic,8.463446
AU Mic b,AU Mic,8.46308
AU Mic b,AU Mic,8.46321
AU Mic b,AU Mic,8.4630004
AU Mic c,AU Mic,NA
AU Mic c,AU Mic,18.859018
AU Mic c,AU Mic,18.85969
AU Mic c,AU Mic,18.859023
AU Mic c,AU Mic,18.859019
AU Mic c,AU Mic,18.858991
AU Mic c,AU Mic,18.859019
AU Mic c,AU Mic,18.858982
AU Mic c,AU Mic,18.85882
AU Mic d,AU Mic,12.73596
AU Mic e,AU Mic,33.11
AU Mic e,AU Mic,33.39
BD+03 2562 b,BD+03 2562,481.9
BD+05 4868 A b,BD+05 4868 A,1.271869
BD+14 4559 b,BD+14 4559,268.94
BD+14 4559 b,BD+14 4559,268.94
BD+15 2375 b,BD+15 2375,153.22
BD+15 2940 b,BD+15 2940,137.48
BD+20 2457 b,BD+20 2457,379.63
BD+20 2457 b,BD+20 2457,379.63
BD+20 2457 c,BD+20 2457,621.99
BD+20 274 b,BD+20 274,578.2
BD+20 594 b,BD+20 594,41.6855
BD+20 594 b,BD+20 594,41.688644
BD+20 594 b,BD+20 594,41.6855
BD+37 3172 b,BD+37 3172,1887.76
BD+42 2315 b,BD+42 2315,123.05
BD+45 564 b,BD+45 564,307.88
BD+48 738 b,BD+48 738,392.6
BD+48 740 b,BD+48 740,733
BD+49 828 b,BD+49 828,2590
BD+55 362 b,BD+55 362,265.59
BD+60 1417 b,BD+60 1417,NA
BD+63 1405 b,BD+63 1405,1198.48
BD+63 1405 b,BD+63 1405,1230
BD-06 1339 b,BD-06 1339,3.873
BD-06 1339 b,BD-06 1339,3.8728
BD-06 1339 c,BD-06 1339,125.94
BD-08 2823 b,BD-08 2823,5.6
