# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 19 20:13:08 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
#
pl_name,discoverymethod,disc_year
11 Com b,Radial Velocity,2007
11 Com b,Radial Velocity,2007
11 Com b,Radial Velocity,2007
11 UMi b,Radial Velocity,2009
11 UMi b,Radial Velocity,2009
11 UMi b,Radial Velocity,2009
14 And b,Radial Velocity,2008
14 And b,Radial Velocity,2008
14 And b,Radial Velocity,2008
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
14 Her b,Radial Velocity,2002
16 Cyg B b,Radial Velocity,1996
16 Cyg B b,Radial Velocity,1996
16 Cyg B b,Radial Velocity,1996
16 Cyg B b,Radial Velocity,1996
16 Cyg B b,Radial Velocity,1996
16 Cyg B b,Radial Velocity,1996
17 Sco b,Radial Velocity,2020
18 Del b,Radial Velocity,2008
18 Del b,Radial Velocity,2008
18 Del b,Radial Velocity,2008
1RXS J160929.1-210524 b,Imaging,2008
1RXS J160929.1-210524 b,Imaging,2008
1RXS J160929.1-210524 b,Imaging,2008
1RXS J160929.1-210524 b,Imaging,2008
24 Boo b,Radial Velocity,2018
24 Boo b,Radial Velocity,2018
24 Sex b,Radial Velocity,2010
24 Sex c,Radial Velocity,2010
2M0437 b,Imaging,2021
2MASS J01033563-5515561 AB b,Imaging,2013
2MASS J01225093-2439505 b,Imaging,2013
2MASS J01225093-2439505 b,Imaging,2013
2MASS J02192210-3925225 b,Imaging,2015
2MASS J0249-0557 c,Imaging,2018
2MASS J03590986+2009361 b,Imaging,2024
2MASS J04414489+2301513 b,Imaging,2010
2MASS J11011926-7732383 b,Imaging,2024
2MASS J11550485-7919108 b,Imaging,2024
2MASS J12073346-3932539 b,Imaging,2004
2MASS J12073346-3932539 b,Imaging,2004
2MASS J12073346-3932539 b,Imaging,2004
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015
2MASS J21252752-8138278 b,Imaging,2024
2MASS J22362452+4751425 b,Imaging,2016
2MASS J22501512+2325342 b,Imaging,2018
4 UMa b,Radial Velocity,2006
4 UMa b,Radial Velocity,2006
47 UMa b,Radial Velocity,1996
47 UMa b,Radial Velocity,1996
47 UMa b,Radial Velocity,1996
47 UMa b,Radial Velocity,1996
47 UMa b,Radial Velocity,1996
47 UMa b,Radial Velocity,1996
47 UMa c,Radial Velocity,2001
47 UMa c,Radial Velocity,2001
47 UMa c,Radial Velocity,2001
47 UMa c,Radial Velocity,2001
47 UMa d,Radial Velocity,2009
47 UMa d,Radial Velocity,2009
51 Eri b,Imaging,2015
51 Eri b,Imaging,2015
51 Eri b,Imaging,2015
51 Eri b,Imaging,2015
51 Eri b,Imaging,2015
51 Peg b,Radial Velocity,1995
51 Peg b,Radial Velocity,1995
51 Peg b,Radial Velocity,1995
51 Peg b,Radial Velocity,1995
51 Peg b,Radial Velocity,1995
55 Cnc B b,Radial Velocity,2025
55 Cnc B c,Radial Velocity,2025
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc b,Radial Velocity,1996
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc c,Radial Velocity,2004
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc d,Radial Velocity,2002
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc e,Radial Velocity,2004
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
55 Cnc f,Radial Velocity,2007
6 Lyn b,Radial Velocity,2008
6 Lyn b,Radial Velocity,2008
6 Lyn b,Radial Velocity,2008
6 Lyn b,Radial Velocity,2008
61 Vir b,Radial Velocity,2009
61 Vir b,Radial Velocity,2009
61 Vir b,Radial Velocity,2009
61 Vir c,Radial Velocity,2009
61 Vir c,Radial Velocity,2009
61 Vir c,Radial Velocity,2009
61 Vir d,Radial Velocity,2009
61 Vir d,Radial Velocity,2009
7 CMa b,Radial Velocity,2011
7 CMa b,Radial Velocity,2011
7 CMa b,Radial Velocity,2011
7 CMa b,Radial Velocity,2011
7 CMa c,Radial Velocity,2019
7 CMa c,Radial Velocity,2019
70 Vir b,Radial Velocity,1996
70 Vir b,Radial Velocity,1996
70 Vir b,Radial Velocity,1996
70 Vir b,Radial Velocity,1996
