# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 19 20:03:36 2026
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
hostname,sy_pnum,st_rad,st_mass
11 Com,1,13.760000,2.090000
11 Com,1,19.000000,2.700000
11 Com,1,,2.600000
11 UMi,1,,1.700000
11 UMi,1,29.790000,2.780000
11 UMi,1,24.080000,1.800000
14 And,1,11.550000,1.780000
14 And,1,11.000000,2.200000
14 And,1,,1.200000
14 Her,2,,0.910000
14 Her,2,0.930000,0.900000
14 Her,2,1.002350,0.910000
14 Her,2,0.995819,0.969205
14 Her,2,,0.900000
14 Her,2,,1.000000
14 Her,2,,
14 Her,2,,0.900000
14 Her,2,,0.970000
16 Cyg B,1,1.128270,1.030000
16 Cyg B,1,,1.000000
16 Cyg B,1,1.130000,1.080000
16 Cyg B,1,,0.990000
16 Cyg B,1,1.159464,0.982996
16 Cyg B,1,,
17 Sco,1,25.920000,1.220000
18 Del,1,8.800000,2.100000
18 Del,1,,2.100000
18 Del,1,8.500000,2.300000
1RXS J160929.1-210524,1,,0.850000
1RXS J160929.1-210524,1,1.313160,0.623000
1RXS J160929.1-210524,1,,0.850000
1RXS J160929.1-210524,1,1.352000,0.850000
24 Boo,1,12.190000,1.050000
24 Boo,1,10.640000,0.990000
24 Sex,2,4.900000,1.540000
24 Sex,2,4.900000,1.540000
2MASS J04372171+2651014,1,0.840000,0.170000
2MASS J01033563-5515561 A,1,,0.190000
2MASS J01225093-2439505,1,0.366450,0.353185
2MASS J01225093-2439505,1,,0.400000
2MASS J02192210-3925225,1,0.281000,0.108000
2MASS J0249-0557 A,1,,0.046000
2MASS J03590986+2009361,1,,
2MASS J04414489+2301513,1,,0.019000
2MASS J11011926-7732383,1,,
2MASS J11550485-7919108,1,,
2MASS J12073346-3932539,1,,
2MASS J12073346-3932539,1,0.218870,0.188001
2MASS J12073346-3932539,1,,0.024000
2MASS J19383260+4603591,3,,0.480000
2MASS J19383260+4603591,3,0.203000,0.480000
2MASS J21252752-8138278,1,,
2MASS J22362452+4751425,1,,0.600000
2MASS J22501512+2325342,1,,
4 UMa,1,18.110000,1.234000
4 UMa,1,18.110000,1.234000
47 UMa,3,,1.063000
47 UMa,3,,
47 UMa,3,,
47 UMa,3,1.213340,1.060000
47 UMa,3,1.136537,1.005192
47 UMa,3,,
47 UMa,3,1.213340,1.060000
47 UMa,3,,
47 UMa,3,,
47 UMa,3,1.136537,1.005192
47 UMa,3,1.213340,1.060000
47 UMa,3,1.136537,1.005192
51 Eri,1,,1.750000
51 Eri,1,1.487260,1.650000
51 Eri,1,,1.750000
51 Eri,1,1.450000,1.550000
51 Eri,1,1.487260,1.650000
51 Peg,1,1.186744,1.069296
51 Peg,1,,
51 Peg,1,1.175610,1.030000
51 Peg,1,1.290000,
51 Peg,1,,1.040000
55 Cnc B,7,0.274000,0.260000
55 Cnc B,7,0.274000,0.260000
55 Cnc,7,,0.950000
55 Cnc,7,0.980000,1.015000
55 Cnc,7,,0.850000
55 Cnc,7,,0.950000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,,
55 Cnc,7,0.964411,0.974708
55 Cnc,7,,
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.943000,0.905000
55 Cnc,7,,0.950000
55 Cnc,7,,
55 Cnc,7,0.980000,1.015000
55 Cnc,7,0.964411,0.974708
55 Cnc,7,,
55 Cnc,7,0.943000,0.905000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,,0.950000
55 Cnc,7,,0.950000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,,
55 Cnc,7,,0.950000
55 Cnc,7,,0.950000
55 Cnc,7,0.943000,0.905000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.980000,1.015000
55 Cnc,7,,
55 Cnc,7,,0.950000
55 Cnc,7,0.964411,0.974708
55 Cnc,7,0.963515,0.900000
55 Cnc,7,,0.950000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.964411,0.974708
55 Cnc,7,0.943000,0.963000
55 Cnc,7,,
55 Cnc,7,0.963515,
55 Cnc,7,0.943000,0.905000
55 Cnc,7,,0.950000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.954000,0.873000
55 Cnc,7,,
55 Cnc,7,0.943000,0.905000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.980000,1.015000
55 Cnc,7,0.980000,1.015000
55 Cnc,7,,
55 Cnc,7,0.943000,0.905000
55 Cnc,7,0.943000,0.905000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,0.963515,0.900000
55 Cnc,7,,
55 Cnc,7,0.980000,1.015000
55 Cnc,7,0.964411,0.974708
55 Cnc,7,0.943000,0.905000
55 Cnc,7,,0.950000
6 Lyn,1,4.940000,1.320000
6 Lyn,1,5.200000,1.700000
6 Lyn,1,5.200000,1.440000
6 Lyn,1,5.200000,1.820000
61 Vir,3,0.963000,0.942000
61 Vir,3,,
61 Vir,3,1.032510,0.914072
61 Vir,3,0.963000,0.942000
61 Vir,3,,
61 Vir,3,1.032510,0.914072
61 Vir,3,,
61 Vir,3,0.963000,0.942000
7 CMa,2,4.870000,1.340000
7 CMa,2,4.908430,
7 CMa,2,5.198000,1.439000
7 CMa,2,2.300000,1.520000
7 CMa,2,5.198000,1.439000
7 CMa,2,4.870000,1.340000
70 Vir,1,1.940000,1.090000
70 Vir,1,1.921943,1.060550
70 Vir,1,1.890000,1.090000
70 Vir,1,,
70 Vir,1,1.840000,1.140000
70 Vir,1,,1.110000
75 Cet,2,10.500000,2.490000
75 Cet,2,10.380000,1.920000
75 Cet,2,10.380000,1.920000
8 UMi,1,10.730000,1.510000
8 UMi,1,9.900000,1.800000
8 UMi,1,10.300000,1.440000
81 Cet,1,,1.600000
81 Cet,1,11.210000,1.230000
81 Cet,1,11.000000,2.400000
91 Aqr,1,11.000000,1.400000
AB Aur,1,,2.400000
AB Pic,1,,
AF Lep,1,,1.219000
AF Lep,1,,1.130000
AF Lep,1,1.250000,1.200000
AF Lep,1,1.250000,1.201000
AF Lep,1,,1.218000
AT2021ueyL,1,,0.490000
AU Mic,4,0.862000,0.635000
AU Mic,4,0.820000,0.600000
AU Mic,4,0.750000,0.500000
AU Mic,4,0.750000,0.500000
AU Mic,4,0.750000,0.500000
AU Mic,4,0.750000,0.500000
AU Mic,4,,0.500000
AU Mic,4,0.698009,
AU Mic,4,0.750000,0.500000
AU Mic,4,0.750000,0.560000
AU Mic,4,0.820000,0.600000
AU Mic,4,0.744000,0.510000
AU Mic,4,,
AU Mic,4,0.750000,
AU Mic,4,0.750000,0.500000
AU Mic,4,0.820000,0.600000
AU Mic,4,0.744000,0.510000
AU Mic,4,0.862000,0.635000
AU Mic,4,0.750000,0.500000
AU Mic,4,,0.500000
AU Mic,4,0.750000,0.500000
AU Mic,4,0.750000,
AU Mic,4,0.820000,0.600000
AU Mic,4,0.744000,0.510000
AU Mic,4,0.820000,0.600000
AU Mic,4,0.820000,0.600000
BD+03 2562,1,32.350000,1.140000
BD+05 4868 A,1,0.690000,0.700000
BD+14 4559,1,0.860000,0.490000
BD+14 4559,1,0.950000,0.860000
BD+15 2375,1,8.950000,1.080000
BD+15 2940,1,14.700000,1.100000
BD+20 2457,2,71.020000,10.830000
BD+20 2457,2,49.000000,2.800000
BD+20 2457,2,49.000000,2.800000
BD+20 274,1,17.300000,0.800000
BD+20 594,1,0.928000,0.961000
BD+20 594,1,0.956122,0.963861
BD+20 594,1,1.080000,1.670000
BD+37 3172,1,50.240000,3.750000
BD+42 2315,1,17.850000,1.380000
BD+45 564,1,,0.810000
BD+48 738,1,11.000000,0.740000
BD+48 740,1,10.330000,1.090000
BD+49 828,1,7.600000,1.520000
BD+55 362,1,,0.909000
BD+60 1417,1,0.797000,1.000000
BD+63 1405,1,,0.816000
BD+63 1405,1,,0.816000
BD-06 1339,2,,
BD-06 1339,2,,0.700000
BD-06 1339,2,,0.700000
BD-08 2823,2,,
BD-08 2823,2,0.710000,0.500000
BD-08 2823,2,,0.740000
BD-08 2823,2,,0.740000
BD-10 3166,1,,1.010000
BD-10 3166,1,0.910000,1.470000
BD-10 3166,1,,1.100000
BD-10 3166,1,0.969745,0.999531
BD-11 4672,2,0.639000,0.651000
BD-11 4672,2,0.520000,0.571000
BD-11 4672,2,0.639000,0.651000
BD-13 2130,1,,2.400000
BD-13 2130,1,19.170000,2.120000
BD-14 3065 A,1,2.350000,1.410000
BD-14 3065 A,1,2.610000,
BD-17 63,1,0.690000,0.740000
BD-17 63,1,,0.741000
BD-17 63,1,,
BD-17 63,1,0.740000,0.310000
BD-210397,2,0.747000,0.679000
BD-210397,2,,0.691000
BD-210397,2,0.747000,0.679000
BD-210397,2,,0.690000
BEBOP-3,1,1.414000,1.083000
BEBOP-4 A,1,,1.507000
Barnard's star,4,0.185000,0.162000
Barnard's star,4,0.185000,0.162000
Barnard's star,4,0.185000,0.162000
Barnard's star,4,0.185000,0.162000
Barnard's star,4,0.185000,0.162000
CD Cet,1,0.175000,0.161000
CD-35 2722,1,,0.400000
CD-35 2722,1,,
CFBDSIR J145829+101343,1,,0.021000
CFHTWIR-Oph 98 A,1,0.245000,0.014700
CHXR 73,1,,0.350000
CI Tau,1,,
COCONUTS-2 A,1,0.388000,0.370000
COCONUTS-2 A,1,0.388000,0.370000
CT Cha,1,,
CWISEP J193518.59-154620.3,1,,0.024000
CoRoT-1,1,1.140000,1.030000
CoRoT-1,1,,
CoRoT-1,1,1.131000,0.950000
CoRoT-1,1,1.290000,
CoRoT-1,1,,
CoRoT-1,1,1.110000,0.950000
CoRoT-1,1,1.230000,1.220000
CoRoT-10,1,0.548929,
CoRoT-10,1,0.790000,0.890000
CoRoT-10,1,0.743000,0.904000
CoRoT-10,1,0.790000,0.890000
CoRoT-11,1,1.374000,1.260000
CoRoT-11,1,1.330000,1.230000
CoRoT-11,1,1.586010,
CoRoT-11,1,1.370000,1.270000
CoRoT-11,1,1.360000,1.560000
CoRoT-11,1,1.370000,1.270000
CoRoT-11,1,1.370000,1.270000
CoRoT-12,1,1.036740,
CoRoT-12,1,1.116000,1.078000
CoRoT-12,1,1.049000,1.000000
CoRoT-12,1,1.116000,1.078000
CoRoT-12,1,1.046000,1.018000
CoRoT-12,1,1.116000,1.078000
CoRoT-13,1,1.274000,1.086000
CoRoT-13,1,1.010000,1.090000
CoRoT-13,1,1.137070,
CoRoT-13,1,1.010000,1.090000
CoRoT-13,1,1.010000,1.090000
CoRoT-14,1,1.210000,1.130000
CoRoT-14,1,1.210000,1.130000
CoRoT-14,1,1.190000,1.125000
CoRoT-16,1,1.190000,1.098000
CoRoT-16,1,1.190000,1.098000
CoRoT-17,1,1.620000,1.043000
CoRoT-17,1,1.590000,1.040000
CoRoT-17,1,1.590000,1.040000
CoRoT-18,1,1.000000,0.950000
CoRoT-18,1,0.883000,0.880000
CoRoT-18,1,0.934028,
CoRoT-18,1,0.924000,0.861000
