hostname,sy_pnum,st_rad,st_mass
11 Com,1,13.76,2.09
11 Com,1,19,2.7
11 Com,1,NA,2.6
11 UMi,1,NA,1.7
11 UMi,1,29.79,2.78
11 UMi,1,24.08,1.8
14 And,1,11.55,1.78
14 And,1,11,2.2
14 And,1,NA,1.2
14 Her,2,NA,0.91
14 Her,2,0.93,0.9
14 Her,2,1.00235,0.91
14 Her,2,0.995819,0.969205
14 Her,2,NA,0.9
14 Her,2,NA,1
14 Her,2,NA,NA
14 Her,2,NA,0.9
14 Her,2,NA,0.97
16 Cyg B,1,1.12827,1.03
16 Cyg B,1,NA,1
16 Cyg B,1,1.13,1.08
16 Cyg B,1,NA,0.99
16 Cyg B,1,1.159464,0.982996
16 Cyg B,1,NA,NA
17 Sco,1,25.92,1.22
18 Del,1,8.8,2.1
18 Del,1,NA,2.1
18 Del,1,8.5,2.3
1RXS J160929.1-210524,1,NA,0.85
1RXS J160929.1-210524,1,1.31316,0.623
1RXS J160929.1-210524,1,NA,0.85
1RXS J160929.1-210524,1,1.352,0.85
24 Boo,1,12.19,1.05
24 Boo,1,10.64,0.99
24 Sex,2,4.9,1.54
24 Sex,2,4.9,1.54
2MASS J04372171+2651014,1,0.84,0.17
2MASS J01033563-5515561 A,1,NA,0.19
2MASS J01225093-2439505,1,0.36645,0.353185
2MASS J01225093-2439505,1,NA,0.4
2MASS J02192210-3925225,1,0.281,0.108
2MASS J0249-0557 A,1,NA,0.046
2MASS J03590986+2009361,1,NA,NA
2MASS J04414489+2301513,1,NA,0.019
2MASS J11011926-7732383,1,NA,NA
2MASS J11550485-7919108,1,NA,NA
2MASS J12073346-3932539,1,NA,NA
2MASS J12073346-3932539,1,0.21887,0.188001
2MASS J12073346-3932539,1,NA,0.024
2MASS J19383260+4603591,3,NA,0.48
2MASS J19383260+4603591,3,0.203,0.48
2MASS J21252752-8138278,1,NA,NA
2MASS J22362452+4751425,1,NA,0.6
2MASS J22501512+2325342,1,NA,NA
4 UMa,1,18.11,1.234
4 UMa,1,18.11,1.234
47 UMa,3,NA,1.063
47 UMa,3,NA,NA
47 UMa,3,NA,NA
47 UMa,3,1.21334,1.06
47 UMa,3,1.136537,1.005192
47 UMa,3,NA,NA
47 UMa,3,1.21334,1.06
47 UMa,3,NA,NA
47 UMa,3,NA,NA
47 UMa,3,1.136537,1.005192
47 UMa,3,1.21334,1.06
47 UMa,3,1.136537,1.005192
51 Eri,1,NA,1.75
51 Eri,1,1.48726,1.65
51 Eri,1,NA,1.75
51 Eri,1,1.45,1.55
51 Eri,1,1.48726,1.65
51 Peg,1,1.186744,1.069296
51 Peg,1,NA,NA
51 Peg,1,1.17561,1.03
51 Peg,1,1.29,NA
51 Peg,1,NA,1.04
55 Cnc B,7,0.274,0.26
55 Cnc B,7,0.274,0.26
55 Cnc,7,NA,0.95
55 Cnc,7,0.98,1.015
55 Cnc,7,NA,0.85
55 Cnc,7,NA,0.95
55 Cnc,7,0.963515,0.9
55 Cnc,7,0.963515,0.9
55 Cnc,7,0.963515,0.9
55 Cnc,7,NA,NA
55 Cnc,7,0.964411,0.974708
55 Cnc,7,NA,NA
55 Cnc,7,0.963515,0.9
55 Cnc,7,0.943,0.905
55 Cnc,7,NA,0.95
55 Cnc,7,NA,NA
55 Cnc,7,0.98,1.015
55 Cnc,7,0.964411,0.974708
